data;semanaEpi;Recuperadosnovos;emAcompanhamentoNovos
25/02/2020;9;;
26/02/2020;9;;
27/02/2020;9;;
28/02/2020;9;;
29/02/2020;9;;
01/03/2020;10;;
02/03/2020;10;;
03/03/2020;10;;
04/03/2020;10;;
05/03/2020;10;;
06/03/2020;10;;
07/03/2020;10;;
08/03/2020;11;;
09/03/2020;11;;
10/03/2020;11;;
11/03/2020;11;;
12/03/2020;11;;
13/03/2020;11;;
14/03/2020;11;;
15/03/2020;12;;
16/03/2020;12;;
17/03/2020;12;;
18/03/2020;12;;
19/03/2020;12;;
20/03/2020;12;;
21/03/2020;12;;
22/03/2020;13;;
23/03/2020;13;;
24/03/2020;13;;
25/03/2020;13;;
26/03/2020;13;;
27/03/2020;13;;
28/03/2020;13;;
29/03/2020;14;;
30/03/2020;14;;
31/03/2020;14;;
01/04/2020;14;;
02/04/2020;14;;
03/04/2020;14;;
04/04/2020;14;;
05/04/2020;15;;
06/04/2020;15;;
07/04/2020;15;;
08/04/2020;15;;
09/04/2020;15;;
10/04/2020;15;;
11/04/2020;15;;
12/04/2020;16;;
13/04/2020;16;;
14/04/2020;16;;
15/04/2020;16;;
16/04/2020;16;;
17/04/2020;16;;
18/04/2020;16;;
19/04/2020;17;22130;14062
20/04/2020;17;22991;15015
21/04/2020;17;24325;16013
22/04/2020;17;25318;17533
23/04/2020;17;26573;19606
24/04/2020;17;27655;21670
25/04/2020;17;29160;25333
26/04/2020;18;30152;27531
27/04/2020;18;31142;30816
28/04/2020;18;32544;34325
29/04/2020;18;34132;38564
30/04/2020;18;35935;43544
01/05/2020;18;38039;47221
02/05/2020;18;40937;48872
03/05/2020;19;42991;51131
04/05/2020;19;45186;55273
05/05/2020;19;48221;58573
06/05/2020;19;51370;65312
07/05/2020;19;55350;70610
08/05/2020;19;59297;76134
09/05/2020;19;61685;83627
10/05/2020;20;64957;86619
11/05/2020;20;67384;89429
12/05/2020;20;72597;92593
13/05/2020;20;78424;97402
14/05/2020;20;79479;109446
15/05/2020;20;84970;118436
16/05/2020;20;89672;127837
17/05/2020;21;94122;130840
18/05/2020;21;100459;136969
19/05/2020;21;106794;146863
20/05/2020;21;116683;156037
21/05/2020;21;125960;164080
22/05/2020;21;135430;174412
23/05/2020;21;142587;182798
24/05/2020;22;149911;190634
25/05/2020;22;153833;197592
26/05/2020;22;158593;208117
27/05/2020;22;166647;219576
28/05/2020;22;177604;233880
29/05/2020;22;189476;247812
30/05/2020;22;200892;268714
31/05/2020;23;206555;278331
01/06/2020;23;211080;285430
02/06/2020;23;223638;300546
03/06/2020;23;238617;312851
04/06/2020;23;254963;325957
05/06/2020;23;266940;343805
06/06/2020;23;277149;359767
07/06/2020;24;283952;371351
08/06/2020;24;290040;380238
09/06/2020;24;311064;390033
10/06/2020;24;325395;407341
11/06/2020;24;345595;416314
12/06/2020;24;365063;421919
13/06/2020;24;379245;428549
14/06/2020;25;388492;435800
15/06/2020;25;412252;432060
16/06/2020;25;441729;436219
17/06/2020;25;463474;445393
18/06/2020;25;482102;448292
19/06/2020;25;507200;476759
20/06/2020;25;520734;496869
21/06/2020;26;549386;485035
22/06/2020;26;571649;483550
23/06/2020;26;613345;479916
24/06/2020;26;649908;484893
25/06/2020;26;673729;499414
26/06/2020;26;697526;521487
27/06/2020;26;715905;540692
28/06/2020;27;733848;552673
29/06/2020;27;757462;552419
30/06/2020;27;790040;552407
01/07/2020;27;826866;561255
02/07/2020;27;852816;582158
03/07/2020;27;868372;607535
04/07/2020;27;876359;636380
05/07/2020;28;906286;631902
06/07/2020;28;927292;630505
07/07/2020;28;976977;624871
08/07/2020;28;1020901;624295
09/07/2020;28;1054043;632552
10/07/2020;28;1078763;651666
11/07/2020;28;1100873;667508
12/07/2020;29;1123204;669377
13/07/2020;29;1154837;657297
14/07/2020;29;1209208;643483
15/07/2020;29;1255564;635818
16/07/2020;29;1296328;639135
17/07/2020;29;1321036;647441
18/07/2020;29;1342362;653726
19/07/2020;30;1371229;647672
20/07/2020;30;1409202;629324
21/07/2020;30;1465970;612197
22/07/2020;30;1532138;612605
23/07/2020;30;1570237;633156
24/07/2020;30;1592281;665847
25/07/2020;30;1617480;690584
26/07/2020;31;1634274;697813
27/07/2020;31;1667667;687090
28/07/2020;31;1721560;673092
29/07/2020;31;1786753;675378
30/07/2020;31;1824095;694744
31/07/2020;31;1844051;725959
