data;semanaEpi;Recuperadosnovos;emAcompanhamentoNovos
01/08/2020;31;1865729;748585
02/08/2020;32;1883677;755896
03/08/2020;32;1912319;743334
04/08/2020;32;1970767;735335
05/08/2020;32;2020637;741180
06/08/2020;32;2080916;781954
07/08/2020;32;2068394;794476
08/08/2020;32;2094293;817642
09/08/2020;33;2118460;815913
10/08/2020;33;2163812;791906
11/08/2020;33;2243124;763480
12/08/2020;33;2309477;751107
13/08/2020;33;2356640;762773
14/08/2020;33;2384302;784695
15/08/2020;33;2404272;805592
16/08/2020;34;2432456;799889
17/08/2020;34;2478494;772540
18/08/2020;34;2554179;743287
19/08/2020;34;2615254;730298
20/08/2020;34;2653407;736264
21/08/2020;34;2670755;748217
22/08/2020;34;2709638;758474
23/08/2020;35;2739035;752004
24/08/2020;35;2778709;728843
25/08/2020;35;2848395;705020
26/08/2020;35;2908848;690642
27/08/2020;35;2947250;695492
28/08/2020;35;2976796;708503
29/08/2020;35;3006679;719012
30/08/2020;36;3031626;709857
31/08/2020;36;3097734;689157
01/09/2020;36;3159096;669239
02/09/2020;36;3210405;663680
03/09/2020;36;3247610;669414
04/09/2020;36;3278918;688393
05/09/2020;36;3296702;700095
06/09/2020;37;3317227;693644
07/09/2020;37;3355564;665270
08/09/2020;37;3397234;637375
09/09/2020;37;3453336;616014
10/09/2020;37;3497337;611587
11/09/2020;37;3530655;621113
12/09/2020;37;3553421;631056
13/09/2020;38;3573958;624872
14/09/2020;38;3613184;600420
15/09/2020;38;3671128;578016
16/09/2020;38;3720312;564665
17/09/2020;38;3753082;567369
18/09/2020;38;3789139;570251
19/09/2020;38;3820095;571613
20/09/2020;39;3851227;556507
21/09/2020;39;3887199;533597
22/09/2020;39;3945627;507869
23/09/2020;39;3992886;493022
24/09/2020;39;4023789;494105
25/09/2020;39;4040949;508127
26/09/2020;39;4050837;525748
27/09/2020;40;4060088;530480
28/09/2020;40;4084182;519224
29/09/2020;40;4135088;499513
30/09/2020;40;4180376;486607
01/10/2020;40;4212772;489640
02/10/2020;40;4232593;502542
03/10/2020;40;4248574;512272
04/10/2020;41;4263208;505729
05/10/2020;41;4295302;485258
06/10/2020;41;4352871;468776
07/10/2020;41;4391424;461042
08/10/2020;41;4414564;464923
09/10/2020;41;4433595;472654
10/10/2020;41;4453722;478717
11/10/2020;42;4470163;474328
12/10/2020;42;4495269;457450
13/10/2020;42;4526975;435655
14/10/2020;42;4568813;420303
15/10/2020;42;4599446;417480
16/10/2020;42;4619560;427526
17/10/2020;42;4635315;435372
18/10/2020;43;4650030;431409
19/10/2020;43;4681659;414892
20/10/2020;43;4721593;397524
21/10/2020;43;4756489;386880
22/10/2020;43;4779295;388435
23/10/2020;43;4797872;399313
24/10/2020;43;4817898;405834
25/10/2020;44;4835915;401079
26/10/2020;44;4865930;386527
27/10/2020;44;4904046;377649
28/10/2020;44;4934548;375266
29/10/2020;44;4954159;381248
30/10/2020;44;4966264;390917
31/10/2020;44;4972898;402823
01/11/2020;45;4980942;404689
02/11/2020;45;4998408;395545
03/11/2020;45;5028216;377337
04/11/2020;45;5064344;364575
05/11/2020;45;5088635;361948
06/11/2020;45;5104195;367514
07/11/2020;45;5119132;372160
08/11/2020;46;5133155;368563
09/11/2020;46;5154005;358399
10/11/2020;46;5189529;347686
11/11/2020;46;5236345;348657
12/11/2020;46;5256767;360534
13/11/2020;46;5267567;378348
14/11/2020;46;5291511;391790
15/11/2020;47;5303114;394181
16/11/2020;47;5322406;388044
17/11/2020;47;5361592;383467
18/11/2020;47;5389863;388531
19/11/2020;47;5407498;406208
20/11/2020;47;5422102;429449
21/11/2020;47;5429158;454639
22/11/2020;48;5432505;469713
23/11/2020;48;5445095;473028
24/11/2020;48;5476018;472575
25/11/2020;48;5512847;482990
26/11/2020;48;5528599;504161
27/11/2020;48;5536524;529852
28/11/2020;48;5562539;555172
29/11/2020;49;5578118;563789
30/11/2020;49;5601804;560954
01/12/2020;49;5656498;556472
02/12/2020;49;5698353;563782
03/12/2020;49;5725010;586804
04/12/2020;49;5744369;613635
05/12/2020;49;5761363;639186
06/12/2020;50;5776182;650417
07/12/2020;50;5801067;645527
08/12/2020;50;5854709;642131
09/12/2020;50;5901511;647946
10/12/2020;50;5931777;670257
11/12/2020;50;5954745;701045
12/12/2020;50;5969706;729298
13/12/2020;51;5982953;737597
14/12/2020;51;6016085;729225
15/12/2020;51;6067862;719373
16/12/2020;51;6132683;724190
17/12/2020;51;6177702;747905
18/12/2020;51;6198185;779143
19/12/2020;51;6222764;804035
20/12/2020;52;6245801;806035
21/12/2020;52;6286980;789348
22/12/2020;52;6354972;775590
23/12/2020;52;6405356;770941
24/12/2020;52;6448740;785223
25/12/2020;52;6449822;785765
26/12/2020;52;6459335;798737
27/12/2020;53;6475466;799545
28/12/2020;53;6515370;777776
29/12/2020;53;6568898;744365
30/12/2020;53;6647538;723332
31/12/2020;53;6707781;717544
