data;semanaEpi;Recuperadosnovos;emAcompanhamentoNovos
19/09/2021;38;20253273;395758
20/09/2021;38;20230891;425821
21/09/2021;38;20250198;405456
22/09/2021;38;20295538;395713
23/09/2021;38;20319520;395694
24/09/2021;38;20326408;407545
25/09/2021;38;20333908;415196
26/09/2021;39;20340373;417156
27/09/2021;39;20361191;410551
28/09/2021;39;20383243;403101
29/09/2021;39;20404701;398723
30/09/2021;39;20425139;405185
01/10/2021;39;20432643;415753
02/10/2021;39;20436127;425267
03/10/2021;40;20442653;427520
04/10/2021;40;20462345;418049
05/10/2021;40;20488785;411460
06/10/2021;40;20554936;362672
07/10/2021;40;20609046;323702
08/10/2021;40;20665273;285032
09/10/2021;40;20670348;296004
10/10/2021;41;20678858;295951
11/10/2021;41;20694669;286856
12/10/2021;41;20720496;268203
13/10/2021;41;20740267;256108
14/10/2021;41;20758597;251541
15/10/2021;41;20773826;250981
16/10/2021;41;20783940;251634
17/10/2021;42;20794497;246685
18/10/2021;42;20813408;235037
19/10/2021;42;20838188;222836
20/10/2021;42;20861055;215205
21/10/2021;42;20875999;216663
22/10/2021;42;20885484;221220
23/10/2021;42;20895886;222216
24/10/2021;43;20907224;216895
25/10/2021;43;20922633;207123
26/10/2021;43;20944087;198651
27/10/2021;43;20965296;194193
28/10/2021;43;20979324;195044
29/10/2021;43;20986901;199038
30/10/2021;43;20992510;203890
31/10/2021;44;20996772;206259
01/11/2021;44;21003105;203666
02/11/2021;44;21015876;197177
03/11/2021;44;21035263;192287
04/11/2021;44;21047296;193170
05/11/2021;44;21054660;198738
06/11/2021;44;21062218;202718
07/11/2021;45;21069794;201198
08/11/2021;45;21082343;194161
09/11/2021;45;21100888;186381
10/11/2021;45;21117407;181855
11/11/2021;45;21130382;183992
12/11/2021;45;21138584;190121
13/11/2021;45;21146255;196361
14/11/2021;46;21151342;195342
15/11/2021;46;21162046;187374
16/11/2021;46;21177367;176839
17/11/2021;46;21194900;170910
18/11/2021;46;21206997;170821
19/11/2021;46;21214823;176124
20/11/2021;46;21217739;181824
21/11/2021;47;21222032;182585
22/11/2021;47;21230357;176731
23/11/2021;47;21247982;169134
24/11/2021;47;21264713;165060
25/11/2021;47;21275209;166387
26/11/2021;47;21282804;170869
27/11/2021;47;21288281;174396
28/11/2021;48;21293314;173314
29/11/2021;48;21304115;166258
30/11/2021;48;21321631;158147
01/12/2021;48;21339118;151790
02/12/2021;48;21351505;152098
03/12/2021;48;21357412;156597
04/12/2021;48;21359352;163325
05/12/2021;49;21362553;164902
06/12/2021;49;21370388;161344
07/12/2021;49;21386271;155437
08/12/2021;49;21399316;152214
09/12/2021;49;21407699;152903
10/12/2021;49;21411803;156330
11/12/2021;49;21414318;157117
12/12/2021;50;21420161;152876
13/12/2021;50;21431386;143685
14/12/2021;50;21444849;133956
15/12/2021;50;21457323;126627
16/12/2021;50;21465103;122443
17/12/2021;50;21470339;121080
18/12/2021;50;21475665;118924
19/12/2021;51;21482323;113636
20/12/2021;51;21493235;104748
21/12/2021;51;21505879;95650
22/12/2021;51;21516819;88018
23/12/2021;51;21524821;83524
24/12/2021;51;21531123;81222
25/12/2021;51;21537535;78667
26/12/2021;52;21546135;74853
27/12/2021;52;21557380;70362
28/12/2021;52;21567845;68156
29/12/2021;52;21575485;69532
30/12/2021;52;21582700;75555
31/12/2021;52;21584402;84063
