data;semanaEpi;Recuperadosnovos;emAcompanhamentoNovos
01/07/2021;26;16858632;1180443
02/07/2021;26;16931272;1170937
03/07/2021;26;16989351;1176166
04/07/2021;27;17033808;1184630
05/07/2021;27;17082876;1162515
06/07/2021;27;17151673;1115726
07/07/2021;27;17262646;1065477
08/07/2021;27;17352670;1027827
09/07/2021;27;17422854;1009729
10/07/2021;27;17479277;1009534
11/07/2021;28;17530369;1005741
12/07/2021;28;17588312;968140
13/07/2021;28;17666654;906084
14/07/2021;28;17770617;845538
15/07/2021;28;17858633;813702
16/07/2021;28;17917189;806387
17/07/2021;28;17951699;816012
18/07/2021;29;17983275;817907
19/07/2021;29;18023512;810848
20/07/2021;29;18067080;782009
21/07/2021;29;18124621;750636
22/07/2021;29;18206173;722177
23/07/2021;29;18331462;752641
24/07/2021;29;18340760;780326
25/07/2021;30;18349436;789303
26/07/2021;30;18398567;758593
27/07/2021;30;18466822;730416
28/07/2021;30;18530306;713601
29/07/2021;30;18569991;714881
30/07/2021;30;18595380;729433
31/07/2021;30;18619542;741943
01/08/2021;31;18645993;735531
02/08/2021;31;18687203;709075
03/08/2021;31;18746865;680520
04/08/2021;31;18800884;666042
05/08/2021;31;18840232;665649
06/08/2021;31;18868602;678382
07/08/2021;31;18894631;694396
08/08/2021;32;18907243;695278
09/08/2021;32;18939051;675144
10/08/2021;32;19022724;625145
11/08/2021;32;19092832;586505
12/08/2021;32;19151021;567150
13/08/2021;32;19173917;577221
14/08/2021;32;19195514;585840
15/08/2021;33;19218630;576411
16/08/2021;33;19255927;553151
17/08/2021;33;19313546;532039
18/08/2021;33;19362990;523245
19/08/2021;33;19393047;528524
20/08/2021;33;19413552;541036
21/08/2021;33;19431197;551081
22/08/2021;34;19448816;547548
23/08/2021;34;19479947;529199
24/08/2021;34;19530843;508281
25/08/2021;34;19577135;491757
26/08/2021;34;19609503;489493
27/08/2021;34;19629675;495905
28/08/2021;34;19646400;503195
29/08/2021;35;19663748;498759
30/08/2021;35;19692898;479809
31/08/2021;35;19735447;461010
01/09/2021;35;19775873;447192
02/09/2021;35;19801725;446856
03/09/2021;35;19820202;453188
04/09/2021;35;19838912;455590
05/09/2021;36;19862438;444713
06/09/2021;36;19894660;421463
07/09/2021;36;19932646;396761
08/09/2021;36;19966693;376894
09/09/2021;36;20002562;371163
10/09/2021;36;20016161;372843
11/09/2021;36;20029040;373566
12/09/2021;37;20050471;362457
13/09/2021;37;20076733;342625
14/09/2021;37;20108417;323616
15/09/2021;37;20138267;307746
16/09/2021;37;20173064;306713
17/09/2021;37;20180106;310540
18/09/2021;37;20280294;359523
