data;semanaEpi;Recuperadosnovos;emAcompanhamentoNovos
01/01/2021;53;6747065;733959
02/01/2021;53;6756284;748883
03/01/2021;1;6769420;751260
04/01/2021;1;6813008;724720
05/01/2021;1;6875230;681961
06/01/2021;1;6963407;649261
07/01/2021;1;7036530;638326
08/01/2021;1;7096931;664244
09/01/2021;1;7114474;697774
10/01/2021;2;7144011;729356
11/01/2021;2;7167651;735039
12/01/2021;2;7207483;720549
13/01/2021;2;7273707;717240
14/01/2021;2;7277195;713752
15/01/2021;2;7316944;733628
16/01/2021;2;7339703;777496
17/01/2021;3;7361379;823867
18/01/2021;3;7388784;856979
19/01/2021;3;7411654;866598
20/01/2021;3;7452047;849424
21/01/2021;3;7518846;843527
22/01/2021;3;7564622;860796
23/01/2021;3;7580741;902480
24/01/2021;4;7594771;943906
25/01/2021;4;7628438;971371
26/01/2021;4;7653770;973770
27/01/2021;4;7709602;944127
28/01/2021;4;7798655;915823
29/01/2021;4;7877337;899378
30/01/2021;4;7923794;913346
31/01/2021;5;7960643;935204
01/02/2021;5;7998246;954784
02/02/2021;5;8027042;953185
03/02/2021;5;8077967;926256
04/02/2021;5;8160929;896180
05/02/2021;5;8236864;874993
06/02/2021;5;8291763;875735
07/02/2021;6;8326798;890333
08/02/2021;6;8363677;903106
09/02/2021;6;8397187;895919
10/02/2021;6;8447645;868264
11/02/2021;6;8523462;842583
12/02/2021;6;8596130;828187
13/02/2021;6;8643693;834015
14/02/2021;7;8678327;849639
15/02/2021;7;8710840;860382
16/02/2021;7;8745424;849844
17/02/2021;7;8805239;821698
18/02/2021;7;8883191;797850
19/02/2021;7;8950450;786207
20/02/2021;7;8995246;791923
21/02/2021;8;9029159;807752
22/02/2021;8;9067939;825232
23/02/2021;8;9095483;826187
24/02/2021;8;9139215;808802
25/02/2021;8;9215164;794182
26/02/2021;8;9281018;793488
27/02/2021;8;9323696;815267
28/02/2021;9;9386440;876571
01/03/2021;9;9411033;885284
02/03/2021;9;9457100;874181
03/03/2021;9;9527173;862392
04/03/2021;9;9591590;867769
05/03/2021;9;9637020;895742
06/03/2021;9;9671410;935047
07/03/2021;10;9704351;970160
08/03/2021;10;9757178;996755
09/03/2021;10;9782320;1002947
10/03/2021;10;9843218;1010841
11/03/2021;10;9913739;1017910
12/03/2021;10;9958566;1046262
13/03/2021;10;10000980;1087295
14/03/2021;11;10036947;1125509
15/03/2021;11;10063808;1141333
16/03/2021;11;10111954;1128369
17/03/2021;11;10204541;1116867
18/03/2021;11;10287057;1122006
19/03/2021;11;10339432;1153889
20/03/2021;11;10383460;1197616
21/03/2021;12;10419393;1238314
22/03/2021;12;10449933;1254258
23/03/2021;12;10507995;1244106
24/03/2021;12;10601658;1229685
25/03/2021;12;10689646;1229680
26/03/2021;12;10772549;1244158
27/03/2021;12;10824095;1273207
28/03/2021;13;10879627;1300185
29/03/2021;13;10912941;1309541
30/03/2021;13;10969247;1290502
31/03/2021;13;11074483;1265980
01/04/2021;13;11169937;1257295
02/04/2021;13;11239099;1275461
03/04/2021;13;11276628;1305248
04/04/2021;14;11305746;1317658
05/04/2021;14;11357521;1296002
06/04/2021;14;11436189;1244660
07/04/2021;14;11558784;1204849
08/04/2021;14;11664158;1188271
09/04/2021;14;11732193;1202639
10/04/2021;14;11791885;1232571
11/04/2021;15;11838564;1255108
12/04/2021;15;11880803;1248083
13/04/2021;15;11957068;1206123
14/04/2021;15;12074798;1166771
15/04/2021;15;12170771;1140852
16/04/2021;15;12236295;1144942
17/04/2021;15;12298863;1164843
18/04/2021;16;12344861;1183552
19/04/2021;16;12391599;1178137
20/04/2021;16;12460712;1138301
21/04/2021;16;12561689;1103384
22/04/2021;16;12646132;1095188
23/04/2021;16;12673785;1110686
24/04/2021;16;12711103;1139559
25/04/2021;17;12766772;1151951
26/04/2021;17;12809169;1140821
27/04/2021;17;12879051;1098436
28/04/2021;17;12992442;1054099
29/04/2021;17;13091714;1031390
30/04/2021;17;13152118;1037374
01/05/2021;17;13194538;1060692
02/05/2021;18;13242665;1076873
03/05/2021;18;13278718;1068553
04/05/2021;18;13336476;1034431
05/05/2021;18;13442996;1002304
06/05/2021;18;13529572;986212
07/05/2021;18;13591335;995279
08/05/2021;18;13640478;1022857
09/05/2021;19;13677668;1046895
10/05/2021;19;13714135;1048315
11/05/2021;19;13759125;1027636
12/05/2021;19;13847191;1009974
13/05/2021;19;13924217;1007146
14/05/2021;19;13979329;1024243
15/05/2021;19;14028355;1058542
16/05/2021;20;14062396;1089423
17/05/2021;20;14097287;1094437
18/05/2021;20;14152433;1068421
19/05/2021;20;14247609;1046177
20/05/2021;20;14330118;1040246
21/05/2021;20;14385962;1064038
22/05/2021;20;14422209;1102431
23/05/2021;21;14462432;1136799
24/05/2021;21;14492167;1142023
25/05/2021;21;14552024;1118874
26/05/2021;21;14648332;1093846
27/05/2021;21;14733987;1086279
28/05/2021;21;14786292;1099196
29/05/2021;21;14811266;1121619
30/05/2021;22;14869696;1140847
31/05/2021;22;14912744;1140445
01/06/2021;22;14964631;1118132
02/06/2021;22;15068146;1091135
03/06/2021;22;15168330;1084045
04/06/2021;22;15228983;1105101
05/06/2021;22;15239692;1130874
06/06/2021;23;15290500;1144394
07/06/2021;23;15342286;1131372
08/06/2021;23;15408401;1101403
09/06/2021;23;15494071;1066266
10/06/2021;23;15596816;1046546
11/06/2021;23;15670754;1058196
12/06/2021;23;15718593;1093290
13/06/2021;24;15761177;1127369
14/06/2021;24;15794548;1130817
15/06/2021;24;15854264;1110120
16/06/2021;24;15944646;1097879
17/06/2021;24;16030601;1104294
18/06/2021;24;16077483;1129143
19/06/2021;24;16136968;1165995
20/06/2021;25;16183849;1199101
21/06/2021;25;16220238;1205865
22/06/2021;25;16288392;1175853
23/06/2021;25;16388847;1161089
24/06/2021;25;16483635;1179137
25/06/2021;25;16511701;1222641
26/06/2021;25;16548159;1263459
27/06/2021;26;16582053;1292106
28/06/2021;26;16613992;1293132
29/06/2021;26;16673329;1260981
30/06/2021;26;16779136;1218184
